SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Noosa BC	2	1990	5		building programme	
Peace BC	2	1990	5	Rockhampton	report of Fesitval procession entry	photo
Mission to Qld	2	1990	6		workers needed for Mossman, Port Douglas	photo - Rev. Rob Pattemore
Sorby, Agnes	2	1990	6	South Toowoomba	90th birthday	
Waiters' Union	2	1990	6		letter of concern re Dec 1989 article	
Beames, Rev. S.	2	1990	7		farewelled from Keperra	
Camping - Barrawinga	2	1990	7		renovations - photo	
Karinya Home for the Aged	2	1990	7		celebrates 21 year - publishes book	Karinya Home for the Aged 1968-1989
Singles ministry	2	1990	7	Toowoomba	report	
Crusade Choir	2	1990	8		report	
Whitsunday BC	2	1990	8		baptisms	
Yandina BC	2	1990	8		first baptisms in church	
Youth ministry	2	1990	8		first City-Country youth exchange	remembered by Marie Harris
Aboriginal ministry	3	1990	1	Dinmore Murrie Fellowship	report photo Rev. G. Paulson	and also page 2
Bennett, David	3	1990	2		publishes book on D.L. Moody	
Baptist Theological College	3	1990	3		training aborigines	
Burpengary BC	3	1990	3		outreach concert	
Netball	3	1990	3		season starts	
Salisbury BC	3	1990	3		Rev. A. Johnston inducted	
South Brisbane Vulture St BC	3	1990	3		Easter ministry	
Baptist Theological College	3	1990	4		Assembly for appointment of Dean of	School of Ministry - Rev. S.W. Solomon
Carey BC	3	1990	4		children's ministry	
Enoggera BC	3	1990	4		Christian Endeavour expansion	
Ingram, Rev. M.	3	1990	4		farewelled from Gordon Park BC	
Minden BC	3	1990	4		outreach	
Stamps for Mission	3	1990	4		committee formed to assist Mrs T. Howard	
Weston, Rev. N.E. - President	3	1990	4		visits missionaries in Thailand - photo	
Mission to Qld	3	1990	5		support for appeal for Cooktown	
Stanthorpe BC	3	1990	5		fruit assists Beenleigh BC	
Majestic Park BC	3	1990	6		25th anniversary - welcomes P. Lindsay	photo G. Lange G. Slaughter D. Bennett D. Streton
Beutel, Miss Heather	3	1990	7		appointed director of nursing Clifford	House - photo R. Profke, S. Powell
Olsen, Rev. M.	3	1990	7		visits northern churches for mission	support
Aboriginal ministry	3	1990	8		feature with Rev. G. Paulson	
Easter Live	4	1990	1		report, photo	
Training course - people helping	4	1990	1		report of courses offered	
Howard BC	4	1990	2		1st anniversary	
Singles Ministry	4	1990	2		report	
Browns Plains	4	1990	3		new work established	
Lawnton BC	4	1990	3		Men's ministry	
Baptist Theological College	4	1990	4		address by Rev. S.W. Nickerson	
Baptist Theological College	4	1990	4		P. Sheen inducted as registrar	photo F. Stallard, P. Sheen
Cleveland BC	4	1990	5		opens youth centre	
Maleny BC	4	1990	5		opens building	
Maroochydore BC	4	1990	6		Barry Brown inducted - photo	
Cooktown BC	4	1990	7		baptisms - photo B. Fairhead, Kay Wright	
Emerald BC	4	1990	7		baptism - photo P. Kendall, B. Saunders	
Haldane, Mr and Mrs Doug	4	1990	8		Golden Wedding	
Hancox, Mr and Mrs Phil	4	1990	8		Golden wedding	
Peck, Dr. George W.	4	1990	8	USA	obit	
Baptist Union of Qld - state of concern	5	1990	1		report on concerns - photo F. Stallard	
Stallard, Pastor F.W.	5	1990	1		obit	
King, Mr Gordon	5	1990	2		resigns as Exec. Secretary	Baptist Union of Qld
North Queensland College of Ministries	5	1990	2	Townsville	report	
Baptist Union of Qld	5	1990	3		Field Ministers' tour of Nth Qld	report and photo
City Tabernacle BC	5	1990	3		anniversary - speaker M. Griffiths	
Dementia program	5	1990	3	Colthup Home	report	
Baptist Union of Qld - Print Shop	5	1990	4		report on developments - photo P. Watson	
Greenslopes BC	5	1990	4		outreach - Chat'n'Choose	
Kalbar BC	5	1990	4		baptisms - A & L. Stibbe	
Specialised Life Oriented Ministries	5	1990	4	Helensvale	conference - Sports and Leisure Ministry	
Baptist Union of Qld	5	1990	5		promotional feature - budget, photos	
Aboriginal issues	5	1990	9		letter from M. Crowe	
Community standards	5	1990	9		letter from Q. Kilpatrick	
Labrador BC	5	1990	9		relocation and building plans	
Laidley BC	5	1990	9		Brigade awards to one family	
Qld Baptist Women's Fellowship	5	1990	9		Sharlene Hunter speaks	
Tongues	5	1990	9		letter from C. Baldwin	
Computer	5	1990	10		Baptist User Group meeting	
Pattemore, Rev. Rob	5	1990	10		moving from Ayr	
Singles ministry	5	1990	10	Ipswich, Pine area	reports	
Jarrott Evangelistic Association	5	1990	11		association to close	
Mission to Queensland	5	1990	11		new missionaries - G. Monteith, W. Brown	and R. Bartle
Resthaven	5	1990	11		hydrotherapy report	
New Age	5	1990	12		article by G. Miller	
Rees, Perry	6	1990	0		obit	Baptist Theological College - photo
Baptist Union of Qld	6	1990	1		Rev S. Solomon appointed interim Gen Sup	to precede appointment as Dean School of Ministry
Charleville Flood appeal	6	1990	1		report on response	photo
Leadership Conference	6	1990	1		plans for Mapleton Conference	
Barrawinga camp	6	1990	2		Easter camp	
Lawnton BC	6	1990	2		youth ministry	
Woodridge BC	6	1990	2		international Easter service - ethnic	ministry - Romanian, Hungarian
Stallard, Pastor F.W.	6	1990	3		obit - photo	
Baptist Historical Society - BHSQ	6	1990	4		meeting details - Clifford House	
Burpengary BC	6	1990	5		concert success	
Evangelistic crusade	6	1990	5		combined crusade in East Brisbane	
Baptist Theological College	6	1990	6		G. Moyes to give annual lecture - photo	
Bundaberg West BC	6	1990	6		6th anniversary	
Palm Beach BC	6	1990	6		outreach	
Weston, Rev. N.E.	6	1990	6		article on prayer mount	Mission to Qld
City Tabernacle BC	6	1990	7		Ladies ministry	
Qld Baptist Women's Fellowship	6	1990	7		Mrs V. Griffiths to speak at camp	
Bavinton, Mr and Mrs Bob	6	1990	8		Golden Wedding	
Dysart BC	6	1990	8		pastor needed Mission to Qld	
Music	6	1990	8		Baptist Ladies Choir	
Prisons Mission Assoc	6	1990	8		changed name - Correctional Centres	Chaplaincy
Homesexual law	7	1990	1		Baptist Union concern	
Tieri BC	7	1990	1		report and photo	
Knights, Rev. J.H.	7	1990	2		resigns from Baptist Union	
Wavell Heights BC	7	1990	2		missionary weekend	
Forward Thrust - Church Planting	7	1990	3		report by Rev. G. Jones Field Minister	photo Browns Plains
Laidley BC	7	1990	3		Mothers' Day ministry	
Lindgren, Captain Stan	7	1990	3	Cairns	obit	
Weston, Rev. N.E. - President	7	1990	3		calls for prayer	
Charleville BC	7	1990	4		thanks for flood aid	
School of Theology	7	1990	4		J.O. Sanders speaks to Ministers - photo	
Burpengary BC	7	1990	5		outreach concert with Kym Holwerda	photo
Mail Bag Sunday School	7	1990	5		report	
Sinfield, Rev. W.M.	7	1990	5		obit	by Rev. N. Abrahams
Solomon Islanders	7	1990	5	Maryborough	visit	
Beenleigh BC	7	1990	6		Bridal fair - photo	
Lawnton BC	7	1990	6		Care groups for women's ministry	
Bundaberg BC	7	1990	7		baptisms - photo	
Conwell, Rev. R.E.	7	1990	8		counselling course - Light for Life	service - Baptist Theological College
New Age	7	1990	8		responses to New Age article June 1990	letters by L. Addison, R. O'Keefe
Wynnum BC	7	1990	8		S. Shaw inducted	
Baptist Union of Qld	8	1990	1		good response to budget	
Forward Thrust - Process of Analysis	8	1990	1		report	
Woodrow, Mr Lloyd	8	1990	1		appointed Exec. Secretary	Baptist Union of Qld - photo
Gibson, Mrs E.G.	8	1990	2		obit photo	
Deagon BC	8	1990	3		outreach to youth Aborigines	
Salisbury BC	8	1990	3		report on missions interest	
Tannum Sands	8	1990	3		outreach	
Church Planting Conference	8	1990	4		announcement	
Lawnton BC	8	1990	4		Men's ministry	
Wolter, Mrs Helen	8	1990	4		clothes for ABMS - photo	
Barrawinga Camp	8	1990	5		Stan & May Connell appointed caretakers	
Social issues	8	1990	5		Baptist Union statement - homosexuality	Rev. S. Solomon
Teague, Mr Tom	8	1990	5	Mt Isa	obit	
Cairns BC	8	1990	6		growth	
City Tabernacle BC	8	1990	6		Centenary booklet published	
Gateway BC	8	1990	6		more workers with Servants -Philippines	
Greenslopes BC	8	1990	6		anniversary of ladies work	
Kickbush, Mr Vance	8	1990	6	Minden	obit	
Schmunke, Mr Les	8	1990	6	Minden	obit	
Schuman, Mr George	8	1990	6	Minden	obit	
Social issues	8	1990	7		letter by A. Young	
Tongues	8	1990	7		letters of response by C. Smith,	B. Wheat
Baptist Interchurch Aid BICA	9	1990	1		report - 1 million dollars - photo	
Dobbin, Mr Bruce	9	1990	1		appointed Youth Minister,	Baptist Union of Qld
Weston, Rev. N.E.	9	1990	1		reflection on presidential year	
Brown, Mr Bob	9	1990	2		leaves Baptist Book Store	
Geebung BC	9	1990	2		Aboriginal ministry with L. Lester	
Johnston, Mr Don	9	1990	2		publishes book on grief	
South Toowoomba BC	9	1990	2		children's ministry	
Gin Gin BC	9	1990	3		appeal for help	
Shailer Park BC	9	1990	3		work commenced - photo	
Clifford House	9	1990	4		work begins - photo contract signing	
Clontarf BC	9	1990	4		missionary weekend	
Qld Baptist Women's Fellowship	9	1990	4		annual camp	
Simpson, Rev. Ron	9	1990	4		Field Minister, Leadership - report	
Mission to Qld	9	1990	5		report of developments	
Stamps for Missions	9	1990	5		report - photo	
Baptist Union of Qld	9	1990	6		External executive meetings	
Howarth, Mrs Beth	9	1990	6		devotional article	
Lawnton BC	9	1990	6		Brigades reports	
Margate BC	9	1990	6		seniors ministry	
Maryborough BC	9	1990	6		T. Coller - inducted and baptised	
Middlemount BC	9	1990	6		first baptism	
Death penalty	9	1990	7		letter from K. Marshall	
New Age	9	1990	7		letter of response from B. Gay	
Shield, Miss Desley	9	1990	7		obit - memorial fund announcement	photo
Chaplaincy - sport	9	1990	8		G. Scott, Stafford North - secretary	of Christians in Sport Qld
Small Groups	9	1990	8		seminar	
Soccer - baptist Association	9	1990	8		report	
Ward, Rev. J.C.	9	1990	8		report on Industrial Chaplaincy work	
Forward Thrust	10	1990	1		Assembly endorses goals	photo N. Weston, M. Olsen
Discipling Dynamics Ministry	10	1990	3		ministry in Philippines	
Women's ministries	10	1990	3		discussions on restructuring	
Koch, Rev. Rob	10	1990	4		article on communications revolution	
Stamps for Missions	10	1990	4		report and photo	
Bayside BC	10	1990	6		Sunday School anniversary	
Lawnton BC	10	1990	6		home group study	
Maroochydore BC	10	1990	6		ladies ministry	
Scripture Union Schools Chaplaincy	10	1990	6		report and photo of P. Tuxworth	
Wilson Crusades	10	1990	6		return of Jim Wilson Crusades	
Bowls	10	1990	7		Baptist Bowls Day	
Laidley BC	10	1990	7		anniversary speaker - N. Weston	
North Queensland College of Ministries	10	1990	7	Townsville	report	
Change in Christian Organizations	10	1990	8		seminar for pastors	
Computer	10	1990	8		User Group meeting	
Preaching seminar	10	1990	8	Ashgrove	seminar with Dr H. Robinson	
Casino	11	1990	1		concern reported	
King, Mr G.	11	1990	1		appointed President elect	
Social justice	11	1990	1		report of Social Questions committee	
Chaplaincy - hospital	11	1990	3		report by Rev. K. Cameron-smith	
Churchill BC	11	1990	3		25th anniversary of Girls Brigade	
Davis, Miss Susan	11	1990	3		awarded Girls' Brigade scholarship photo	
Kruger Parade BC	11	1990	3		relocation planned	
AIDS	11	1990	4		reports on concern needed	photo Ruth Smith
Minden BC	11	1990	5		outreach	
Religious Education in Schools	11	1990	5		article by Don Johnston	
Sexual issues forum	11	1990	5		report on forum at Assembly	
Streten, Don	11	1990	5		New Creation 90 concert at Caboolture	photo
Burpengary BC	11	1990	6		youth concert	
Jones, Miss Eva	11	1990	6	Sunsetholme	100th birthday	
Lawnton BC	11	1990	6		soccer club	
Toowoomba Baptist Churches	11	1990	6		combine for dinner	
Oliver, Mrs Irene	11	1990	7		appointed Communications Officer	Baptist Union of Qld
Death penalty	11	1990	8		letters of response from K. Smith,	J. Scanlan
Freemasonry	11	1990	8		letter of response from B. Roberts	
Qld Baptist Women's Fellowship	11	1990	8		discussions on restructuring	
Sipple, Mr and Mrs Norman and Esther	11	1990	8	Minden	Diamond Wedding	
Davidson, Dr Max	12	1990	0		Ministry of Baptist Theological College	photo
Townsville BC	12	1990	1		youth musical team tour - Fools Gold	photo
Aged Care	12	1990	3		report on developments	
Frankland, Cons. Marty	12	1990	3	Broadbeach	report and photo	
Bribie Island BC	12	1990	4		8th anniversary	
Cooktown BC	12	1990	4		visit by Cleveland BC	
Lawnton BC	12	1990	4		personal growth seminar	
Maryborough BC	12	1990	4		visit by Kenmore BC music group	
Barrawinga	12	1990	5		children's camp	
Beth Shalom	12	1990	5		report	
Helensvale BC	12	1990	5		youth ministry	
Beerwah BC	12	1990	6		discipling report	
Benevelont Activities Fund	12	1990	6		Community service annoucement - replaces	Aged Persons Welfare and Homes Board
Hervey Bay	12	1990	6		Youth for Christ at school	
Howarth, Mrs Beth	12	1990	6		concludes with Dept of Mission	photo
Kruger Parade BC	12	1990	6		Vacation Bible School	
Rockhampton BC	12	1990	6		children's ministry	
Accommodation	12	1990	7		appeals for accommodation in Brisbane	
Davies, Rev. C.E.	12	1990	7	Woodridge	farewell from Woodridge	
Easter Live	12	1990	7		auditions	
Lawnton BC	12	1990	7		children's ministry	
Barrawinga Camp	12	1990	8	Hervey Bay	report on hall opening	
Charles, Rev. N.	12	1990	8		reflections on Baptist World Congress	
Netball	12	1990	8		report on Baptist Netball Assoc	
Singles Ministry	12	1990	8		report on Pine Singles Ministry	
Qld Baptist Gazette	2	1991	0		first issue of news sheet	
Real Life evangelistic crusade	2	1991	1		Palns for Jim Wilson crusade - photo	
Solomon, Rev. S.W.	2	1991	1		appointed General Superintendent (photo)	Baptist Union of Qld not Ministry School dean
Baptist Interchurch Aid BICA	2	1991	2		Ultimate dinner	
Cairns BC	2	1991	2		Thanksgiving for cyclone miss	
Bayside BC	2	1991	3		21st anniversary	
Fellows, Miss Cheryl	2	1991	3		appointed Admin officer Dept of Mission	
Samford Valley Fellowship	2	1991	3		inaugural service - photo -	sponsored by Rosalie BC
Scarborough BC	2	1991	3		amalgamates with Margate BC	
Bribie Island BC	2	1991	4		Men's fellowship - Ross Taylor - gems	
Hervey Bay BC	2	1991	4		links with Solomon Islands	
Kruger Parade BC	2	1991	4		float in festival	
Sin	2	1991	4		article by Rev. Jim Kitson	
Jones, Rev. G.	2	1991	5		report on 1st year as church planter	
Laidley BC	2	1991	5		Queens Badge awards - Brigades - photo	Tanya Litzow, Cassandra Jarvis
Stanthorpe BC	2	1991	5		revival in visit of Solomon Islanders	
Television	2	1991	5		Gap community television	
Hospital chaplaincy	2	1991	6		letter responding to article on hospital	chaplaincy
Legge, Rev. K.	2	1991	6		letter on death of son	
Women's role	2	1991	6		letters responding to article on women's	role
Youth ministry	2	1991	6		letter	
Baptisms	2	1991	7		baptism at seaside Sandgate Hervey Bay	photo and Romanian church - photo
Kelly, Pastor Lester	2	1991	7		appointed field minister evangelism	Baptist Union of Qld
Bowls	2	1991	8		Baptist Bowls Day - photo	
Dalby BC	2	1991	8		farewells Rev. P. West	
Dysart church	2	1991	8		leaves MTQ becomes independent church	Ken Gayle leaves MTQ
Greenslopes BC	2	1991	8		farewells Rev. D. Cran	
Taringa BC	2	1991	8		farewell to Rev. J. Allan	
Toowoomba Camp	2	1991	8		float in festival	
Davidson, Dr M.	3	1991	0		leaves Baptist Theological College	for WA
Real Life Evangelistic Crusade	3	1991	1		report on Jim Wilson crusade	
Solomon, Rev S.W.	3	1991	1		priority on evangelism as General	Superintendent - photo
Television	3	1991	1		Baptist national project	
Barrawinga Camp	3	1991	2		children's camp - photo	
Churchill BC	3	1991	2		children's ministry	
Aged care - Karinya	3	1991	3	Laidley	upgrade reported	
Bourne, Mrs Jean	3	1991	3	Resthaven	book - Bourne Rejoicing	
Kelly, Pastor Lester	3	1991	3		feature - photo	
Mission to Qld	3	1991	3		appeal boost	
Community service	3	1991	4		Housing referral - Val Farmer	
Harris, Dr Dorothy	3	1991	4		feature - photo	Servants to Asia's Urban Poor
Palm Beach BC	3	1991	4		report	
Soccer	3	1991	5		report	
Talera Lodge	3	1991	5		report - photo David Lees	
Weston, Mr and Mrs Geoff	3	1991	5	Kruger Parade BC	feature - missionary service - photo	
Homosexuality	3	1991	6		letters	
Hospital Chaplains	3	1991	6		letter outling current chaplains	
Rock music	3	1991	6		letter by W. Silcock	
Bundaberg West BC	3	1991	7		Pastor P. Kendall first full time pastor	
Hospital chaplain	3	1991	7		report	
Missions	3	1991	7		report on short term mission to	Papua New Guinea - photo
Australasian Centre for Biblical Studies	3	1991	8		1st doctors degree to E.J. McCarthy	Cambridge Graduate School, Dr Gene Jeffries
Bribie Island BC	3	1991	8		farewells Rev. R. McKenzie	
Gordon Park BC	3	1991	8		Rev. T. Harris inducted	
Haldane, Mrs Alma	3	1991	8	Resthaven	100th birthday	
McGlone, Anthony	3	1991	8		recording songs - photo	
Watson, Paula	3	1991	8		concludes with Baptist Union office	
Wavell Hts BC	3	1991	8		farewells Rev. M. Armstrong	
Bayside BC	4	1991	1		21st anniversary	photo
Holmans, Rev. W.K.	4	1991	1		photo at Bayside anniversary	
Real Life Evangelistic Crusade	4	1991	1		riverside youth rally with Jim Wilson	
Tanner, Rev. J.	4	1991	1		appointed part-time Missions Director	relinquishes Assoc. Gen Super with Baptist Union
Free, Mr Eddie	4	1991	2		Vacation Bible school at Cairns	photo
Yerbury, Dr Ray	4	1991	2		second coming series at Grange BC	
Baptist Theological College	4	1991	3		book sale to raise funds - photo	
Baptist Union of Qld	4	1991	3		Assembly plans, budget shortfall	photo - Dr T. Williams
Television	4	1991	3		Gap community television - report	
Baptist Union of Qld	4	1991	4		induction of S. Solomon, L. Kelly	photo
Rockhampton BC	4	1991	4		thanks for flood assistance	
Youth ministry	4	1991	4		Strategy Seminars by B. Dobbin -	Baptist Union youth leadership officer
Charleville BC	4	1991	5		report on pastoral need	
Community Service	4	1991	5		Marathon run - photo	
Emerald BC	4	1991	5		report	
Owens, Mr Trevor	4	1991	5		appointed Director Community Services	Baptist Union of Qld - photo
Baptist Union of Qld	4	1991	6		leaders to meet in Townsville	
Evans, David	4	1991	6	Rochedale BC	director Tribes and Nations Outreach	
Knight, Ken and Norma	4	1991	6		director TEAM	
Kruger Parade BC	4	1991	6		youth visit Solomon Islands	
Logan City BC	4	1991	6		Playtime ministry - photo	
McDougall, Leanne	4	1991	6	Ashgrove BC	involved in Family Radio	
Blind ministry	4	1991	7		Scripture Union notes for the blind	
Refugees	4	1991	7		Peter Westoby and Russell Egans help	with Latin American refugees - photo
Simpson, Rev. Ron	4	1991	7		report on Leadership Development	Baptist Union of Qld Field Minister
South Toowoomba BC	4	1991	7		team visits Philippines for radio work	
Logan City BC	4	1991	8		Go kart club - photo	
Logan City BC	4	1991	8		Go-kart club plans - photo	
Singles ministry	4	1991	8		letter	
Stanthorpe BC	4	1991	8		Pastor Festus Fama'aea as Pastoral Help	from Solomon Islands
Collins, Dr Gary	5	1991	1		report on lectures	value of counselling in evangelism - photo
Baptist Men's Society	5	1991	2		report	
Cleveland BC	5	1991	2		hosts prayer weekend with Rev Don Miller	photo
Scarborough and Margate BC	5	1991	2		churches merge	
Howard BC	5	1991	3		2nd anniversary	
Owens, Mr Trevor	5	1991	3		interview on Baptist Community Services	photo
Real Life Evangelistic Crusade	5	1991	3		counselling classes for Jim Wilson	crusade
Salisbury BC	5	1991	3		youth seminar with B. Dobbin	
Brighton BC	5	1991	4		report - photo	
Caloundra BC	5	1991	4		farm for children in crisis	
South Toowoomba BC	5	1991	4		Passover celebration	
Baptist Theological College	5	1991	5		teaching Greek to Thai student - photo	Mrs Heather Cameron Perkins
Camp - Barrawinga	5	1991	5		report	
Kingaroy BC	5	1991	5		revival with Max Horton, Ambassadors	for Christ evangelistic crusade
Logan City BC	5	1991	5		outreach by ladies	
Maryborough BC	5	1991	5		Senior citizens ministry	
City Tabernacle BC	5	1991	6		Missionary weekend	
Computers	5	1991	6		Qld Baptist User Group	
Justice	5	1991	6		letter - TEAR at Townsville	
Rock music	5	1991	6		letter	
Christian Counsellors Association	5	1991	7		notice of formation	
Fairfield BC	5	1991	7		report on new ministry Vision One	photo of house
Politics	5	1991	7		report on Baptists elected to local	government in Laidley
Preaching	5	1991	7		Haddon Robinson preaching school tapes	
Adam, Val	5	1991	8		concludes with Baptist Union	
Lawnton BC	5	1991	8		holds two services - building plans	
Netball	5	1991	8		report	
Prison ministry	5	1991	8		report by Rev. R. Euston	Correctional Centres Chaplaincy
QB - Qld Baptist	5	1991	8		Mrs Irene Oliver resigns as editor	and Communications Officer
Walton, Mrs Annie	5	1991	8	Brighton	90th Birthday	
Aboriginal ministry	6	1991	1		report - photo on Brisbane Murrie work	
Talera Centre	6	1991	1		open day	
Mansfield BC	6	1991	2		report	
Stallard, Mrs Elaine	6	1991	2		obit	
Real Life Evangelistic Crusade	6	1991	3		report on Seminar with Jim Wilson	
Drug Arm	6	1991	4	Majestic Park	report on New Hope program	photo Ron McGilvrey and Pastor P. Lindsay
Qld Baptist Womens Fellowship	6	1991	4		report on changes and developments	
Beerwah BC	6	1991	5		youth ministry team	
Church Break-ins	6	1991	5		report	
Churchill BC	6	1991	5		ladies ministry	
Lawnton BC	6	1991	5		youth leaders in schools - photo	
Mail Bag Sunday School	6	1991	5		retirement of Miss June Brooks (Gough!)	of City Tabernacle - see correction July 91 p 6
Boyd, Mr Ernest John	6	1991	6	Tugun BC	obit	
Cooktown BC	6	1991	6		manse constructed - photo	Mission to Qld appeal
Creation science	6	1991	6		seminar by Ken Ham of Salisbury church	
Maryborough BC	6	1991	6		Womens Ministry developments	
Gordon Park BC	6	1991	7		65th anniversary	
Rock music	6	1991	7		letter	
Solomon Islands	6	1991	7		letter of thanks from Newscastle	
Youth suicide	6	1991	7		seminary	
Caddy, Rev. Wes	6	1991	8		Minister at large with Beerwah BC	
Carey BC	6	1991	8		mens ministry	
Kingaroy Mundubbera BC	6	1991	8		youth ministry	
Laidley BC	6	1991	8		Queens Badge award to Brigades	
Minden BC	6	1991	8		109th Anniversary, family camp	
Albion BC	7	1991	1		report on new growth and change of name	to Fire of Hope - photo L. Wallin, Dorothy Cash
Leadership seminar	7	1991	1		Rev. R. Croucher Equipping Spiritual	Leaders seminar
Andrews, Lyndal	7	1991	2	Moore Park	obit	
Community Service	7	1991	2		update on homes staff and work	
QB - Qld Baptist	7	1991	2		Miss Suzanne Martin appointed editor	and Communications Officer
Bundaberg West BC	7	1991	3		manse opened - first full time minister	inducated Rev. P. Kendall
Kalbar BC	7	1991	3		G. Sercombe Ambassadors for Christ	evangelistic crusade
Minister's Wives	7	1991	3		report on camp	
Worship	7	1991	3		D. Streten forms Spirit and Truth	Ministries to assist with worship training - photo
Baptist Historical Society - BHSQ	7	1991	4		announces launching of camping book by	Mrs J. Maxwell
Bartle, Mr and Mrs Rob	7	1991	4		report on Charleville Mission to Qld	with D. McMahon - photo
Burdekin BC	7	1991	4		report by G. Monteith - Mission to Qld	
Maroochydore BC	7	1991	4		inducts J. Jansen as Assoc. Pastor	
Charters Towers BC	7	1991	5		needs reported	
Qld Baptist Women's Fellowship	7	1991	5		camp at Mapleton	
Hervey Bay BC	7	1991	6		missionary emphasis	photo
Mail Bag Sunday School	7	1991	6		correction - retirement of Miss J. Gough	
Stanthorpe BC	7	1991	6		Ladies ministry	
Toowong BC	7	1991	6		110th anniversary	
Gateway BC	7	1991	7		report on baptism - photo	
Peace BC	7	1991	7		report	
Country concerns	7	1991	8		letter by P. Davies	
Jeffries, Dr Gene	7	1991	8		article on The Silent Pulpit	Australasian Centre for Biblical Studies
Real Life Evangelistic Crusade	8	1991	1		report on Jim Wilson crusades - photo	also page 3, 4 Wynnum, Mossman
Rock music	8	1991	2		letter	
Jim Wilson Evangelistic Crusade	8	1991	3		youth rally	
Wynnum BC	8	1991	3		Real Life evangelistic Crusade - photo	
Kruger Parade BC	8	1991	4		report on building fund	
Mossman BC	8	1991	4		report on shared building - photo	Mission to Qld
Roma BC	8	1991	4		support received	
Woodridge BC	8	1991	4		report on Service of Solidarity - photo	
Talera Centre	8	1991	5		report and photo	
Tieri Convention	8	1991	5		meetings with Rev. J. Tanner	
United service	8	1991	5		Annerley and Fairfield meet with other	churches on Pentecost Sunday
Barrawinga Camp	8	1991	6		camp plans	
Blackwater BC	8	1991	6		growth	
Laidley BC	8	1991	6		Brigade service	
Nicholls, Noel	8	1991	6		thesis on country churches	
Moore Park Bc	8	1991	7		Vacation Bible School - photo	
Fraser Coast BC	8	1991	8		constituted	
Tarampa BC	8	1991	8		report on progress - photo	Pastor B. Emerson, Lance and Sue Hall
Wavell Hts BC	8	1991	8		report on baptism of M and J. Croft	
Hooker, Rev. A,M.	9	1991	0		appreciation for service	from Baptist Theological College
Moyes, Rev Dr Gordon	9	1991	1	Wynnum BC	address on change in churches - photo	
Outreach	9	1991	2		letter by A. Lawson	
Real Life Evangelistic crusade	9	1991	2		letters on participation rate in	Jim Wilson Crusade by D. Bennett and K. Brennan
Nelson, Rev. Mike	9	1991	3		address and photo	
Prayer Renewal	9	1991	3		report of visit to Cleveland BC of	Dr Don Miller - Video Prayer ministry
Jones, Professor D. Gareth	9	1991	4		address at ISCAST on value of human life	photo
Labrador BC	9	1991	4		opening Youth Family Home	photo J. and S. Black
Gibson, Rev. Dr E.G.	9	1991	5		obit	
Prayer Assembly	9	1991	5	Solomon Islands	report by J. Sheen - photo	
Abortion	9	1991	6		letter by A. Jago	
Abortion and pro-life	9	1991	6	USA	report and photo on Mrs C. Everett	
Real Life Evangelistic Crusade	9	1991	6		letter on participation by G. Duffin	
Australasian College of Biblical Studies	9	1991	7		notice of 1st graduation service	D. Kelso, T. McCarthy, W. Caddy receive degrees
Gladstone BC	9	1991	7		25th anniversary plans announced	
Lawnton BC	9	1991	7		baptism of P. Daly tetraplegic - photo	testimonies of P. Daly and G. Higgins
Qld Baptist Women's Fellowship	9	1991	7		needs new editor for Fellowship	
Toowong BC	9	1991	7		Rev C. Ip to conclude	
Inala BC	9	1991	8		work restarts after closure under care	of Centenary
Qld Baptist Women's Fellowship	9	1991	8	Mapleton	final camp - photo M. Heyburn, H. Smith	
Warwick BC	9	1991	8		new manse	
Church growth	10	1991	1		Dr Rose Sims lectures on reviving dying	church - photo
India Evangelical Mission	10	1991	2		letter by P. Gnanakan	
Witness	10	1991	2		letter by K. Fill	
Agnes Waters 1770 BC	10	1991	3		work commenced	
King, Mr Gordon	10	1991	3		photo and letter	
Wynnum BC	10	1991	3		youth team at Woodridge	
Leadership Conference	10	1991	4		report on Mapleton Leadership conference	
Robertson, Brian and Caroline	10	1991	4		concluding at Tully with Mission to Qld	photo
Assembly 1991	10	1991	5		Special feature reporting Assembly	
Jarrott, Rev. E.	10	1991	6		photo - appointed life member	
Smith, Mrs Helen	10	1991	6		photo - elected President Qld Baptist	Women's Ministries and 1st lady on Executive
Clifford House	10	1991	7		opening new Clifford House - photos	
Ordination	10	1991	8		photo ordinands N. Nicholls, G. Semple	I. Sexton, J. Tindale
Minden BC	10	1991	9		Ladies ministry	
Morcom, Rev. G.	10	1991	9		appointed Field Minister Missions	
Smithfield BC	10	1991	9		first pastor S. Foxwell	
Camping - history	10	1991	10		feature by Joan Maxwell - publishes	book
Churches - rural	10	1991	10		article by N. Nicholls on research	
Deane, Mr and Mrs G.	10	1991	11		Golden Wedding	
Easter Live	10	1991	11		notice of presentation	
Frewin, Rupert	10	1991	11		obit	
Wenn, Dr R.P.	10	1991	11		ministry in Philippines with	Discipling Dynamics Ministry - photo
Netball	10	1991	12		report of 21st Birthday - photo	
Real Life Evangelistic Crusade	10	1991	12		report on effects by L. Kelly - photo	
Drought	11	1991	1		report on drought effects - photo	
Fairfield BC	11	1991	2		letter - thanks for Legion of Donor cash	for new ministry in house
Women in ministry	11	1991	2		letter on Dr Moyes' comments	
Prostitution	11	1991	3		Baptist submission to CJC and feature	
Bagi, Rev. S.	11	1991	4		leaving for missionary work in Hungary	
King, Mr Gordon President	11	1991	4		letter on Baptist Union committees	
